date,portfolio_value,num_positions,daily_return,cumulative_return
2025-10-01,1000000.0,20,,0.0
2025-10-02,991308.7047581421,20,-0.008691295241857855,-0.008691295241857855
2025-10-03,994440.4026145418,20,0.0031591550052652018,-0.005559597385458193
2025-10-06,996471.9488310094,20,0.0020429039398703885,-0.003528051168990576
2025-10-07,996471.9488310094,20,0.0,-0.003528051168990576
2025-10-08,998937.9494599581,20,0.0024747316086937143,-0.0010620505400418256
2025-10-09,990580.1122101402,20,-0.008366723132639309,-0.009419887789859804
2025-10-10,965742.3030274132,20,-0.025074003481969753,-0.03425769697258685
2025-10-13,979769.6024416725,20,0.014524888648127288,-0.020230397558327562
2025-10-14,979769.6024416722,20,-2.220446049250313e-16,-0.020230397558327784
2025-10-15,985270.0337747729,20,0.005614004883794266,-0.014729966225227153
2025-10-16,981233.8971287751,20,-0.004096477623027339,-0.01876610287122482
2025-10-17,989026.2319954563,20,0.007941363307446547,-0.010973768004543749
2025-10-20,994979.9681176178,20,0.006019795966532904,-0.005020031882382203
2025-10-21,994979.9681176178,20,0.0,-0.005020031882382203
2025-10-22,993940.0440479326,20,-0.0010451708607285282,-0.006059955952067431
2025-10-23,1001500.9432763337,20,0.007606997296948137,0.001500943276333766
2025-10-24,1001351.7076367715,20,-0.00014901198103123292,0.0013517076367715042
2025-10-27,1004531.907697912,20,0.0031759071631742852,0.004531907697912008
2025-10-28,1004531.9076979118,20,-1.1102230246251565e-16,0.004531907697911786
